id,name,characteristic,type,price,location
1,Tour Cần Thơ mùa hè 2022,1,1,1,3
2,Tour Đà Nẵng mùa Đông 2021,1,1,2,1
3,Tour Sapa mùa thu 2021,3,2,19,14
4,Tour Sapa mùa xuân 2022,3,1,17,14
5,Tour Sapa mùa hè 2022,4,3,18,14
6,Tour Sapa mùa đông 2021,3,4,20,14
7,Tour Phú Quốc mùa hè 2022,4,1,14,16
8,Tour Phú Quốc mùa xuân 2022,1,2,13,16
9,Tour Phú Quốc mùa thu 2022,3,3,15,16
10,Tour Phú Quốc mùa đông 2022,4,4,16,16
11,Tour Đà Lạt mùa xuân 2022,1,1,9,15
12,Tour Đà Lạt mùa hè 2022,3,2,10,15
13,Tour Đà Lạt mùa thu 2022,4,3,11,15
14,Tour Đà Lạt mùa đông 2022,1,4,12,15
